date,sunspot
1700-01-01,4.0
1701-01-01,20.6
1702-01-01,50.9
1703-01-01,58.8
1704-01-01,35.9
1705-01-01,39.3
1706-01-01,68.4
1707-01-01,36.9
1708-01-01,61.7
1709-01-01,59.6
1710-01-01,32.4
1711-01-01,0.7
1712-01-01,43.5
1713-01-01,54.3
1714-01-01,65.8
1715-01-01,46.9
1716-01-01,22.2
1717-01-01,6.5
1718-01-01,42.3
1719-01-01,58.6
1720-01-01,53.1
1721-01-01,28.0
1722-01-01,18.4
1723-01-01,36.1
1724-01-01,52.8
1725-01-01,55.1
1726-01-01,57.1
1727-01-01,24.3
1728-01-01,18.8
1729-01-01,44.8
1730-01-01,108.7
1731-01-01,57.2
1732-01-01,20.9
1733-01-01,29.2
1734-01-01,59.1
1735-01-01,48.3
1736-01-01,61.2
1737-01-01,50.6
1738-01-01,7.2
1739-01-01,10.5
1740-01-01,38.4
1741-01-01,68.4
1742-01-01,49.3
1743-01-01,46.0
1744-01-01,0.0
1745-01-01,23.1
1746-01-01,48.4
1747-01-01,55.7
1748-01-01,44.6
1749-01-01,20.3
1750-01-01,10.8
1751-01-01,39.1
1752-01-01,55.1
1753-01-01,58.2
1754-01-01,31.4
1755-01-01,11.0
1756-01-01,71.9
1757-01-01,70.3
1758-01-01,56.9
1759-01-01,50.2
1760-01-01,12.1
1761-01-01,20.4
1762-01-01,41.3
1763-01-01,81.4
1764-01-01,77.7
1765-01-01,20.5
1766-01-01,2.3
1767-01-01,37.4
1768-01-01,111.8
1769-01-01,69.3
1770-01-01,44.9
1771-01-01,16.6
1772-01-01,6.4
1773-01-01,43.4
1774-01-01,66.1
1775-01-01,70.1
1776-01-01,24.3
1777-01-01,6.8
1778-01-01,20.7
1779-01-01,54.8
1780-01-01,57.3
1781-01-01,63.2
1782-01-01,20.3
1783-01-01,48.3
1784-01-01,54.6
1785-01-01,66.6
1786-01-01,68.7
1787-01-01,32.4
1788-01-01,22.7
1789-01-01,23.4
1790-01-01,61.6
1791-01-01,66.4
1792-01-01,42.6
1793-01-01,17.3
1794-01-01,10.7
1795-01-01,40.6
1796-01-01,63.1
1797-01-01,50.8
1798-01-01,72.4
1799-01-01,17.9
1800-01-01,43.3
1801-01-01,55.0
1802-01-01,62.5
1803-01-01,45.2
1804-01-01,29.2
1805-01-01,12.6
1806-01-01,64.7
1807-01-01,59.4
1808-01-01,55.3
