date,e,prod,rw,U
1980Q1,929.6105,405.3665,386.1361,7.53
1980Q2,929.8040,404.6398,388.1358,7.70
1980Q3,930.3184,403.8149,390.5401,7.47
1980Q4,931.4277,404.2158,393.9638,7.27
1981Q1,932.6620,405.0508,396.7647,7.37
1981Q2,933.5509,404.4093,400.0217,7.13
1981Q3,934.4083,403.7584,400.2703,7.80
1981Q4,934.7037,404.2101,396.2476,8.30
1982Q1,934.4475,404.6760,396.7164,8.50
1982Q2,932.3943,402.5587,398.0327,10.40
1982Q3,930.9933,400.8425,396.0363,11.00
1982Q4,929.5398,399.8076,394.8830,12.77
1983Q1,929.3547,399.6720,400.8452,12.27
1983Q2,930.0587,399.8860,402.2187,12.37
1983Q3,931.4709,401.2358,403.3544,11.93
1983Q4,933.2375,402.0545,406.4938,11.23
1984Q1,934.2792,402.3872,407.2541,11.43
1984Q2,935.7024,403.5470,408.7287,11.40
1984Q3,936.7613,404.5405,409.5443,11.23
1984Q4,937.5998,404.9820,409.7757,11.13
1985Q1,938.4030,405.3506,411.1516,10.87
1985Q2,939.1807,405.9498,413.3079,10.63
1985Q3,939.9661,406.6519,415.3503,10.47
1985Q4,940.2749,407.3785,415.5275,10.53
1986Q1,940.6963,406.8418,416.5763,9.93
1986Q2,941.4955,407.5060,417.6650,9.87
1986Q3,942.2085,407.8539,417.9739,9.67
1986Q4,942.9952,408.1332,418.5600,9.43
1987Q1,944.1897,407.4717,420.1392,9.37
1987Q2,944.9887,408.6930,420.5261,9.27
1987Q3,945.8956,409.4893,420.4662,8.73
1987Q4,947.2043,409.1063,421.3006,8.23
1988Q1,948.0192,409.7442,424.8245,7.93
1988Q2,949.2457,410.7869,425.7178,7.70
1988Q3,950.1227,411.1979,427.2557,7.77
1988Q4,951.3565,411.1978,430.2907,7.63
1989Q1,952.1350,411.7750,432.8048,7.83
1989Q2,952.7698,411.5088,434.3484,7.67
1989Q3,953.0613,411.3988,435.5316,7.53
1989Q4,952.8579,410.5443,436.5424,7.60
1990Q1,952.4285,410.5275,437.5423,7.63
1990Q2,952.5042,410.8893,438.3429,7.70
1990Q3,951.7167,410.0253,438.3949,8.20
1990Q4,950.7123,409.7002,438.9271,9.23
1991Q1,949.9253,410.6219,438.7591,9.90
1991Q2,949.4997,410.2536,439.2099,10.30
1991Q3,949.0672,409.7060,439.5285,10.30
1991Q4,948.8778,409.9754,441.3131,10.57
1992Q1,948.7436,410.9929,441.0930,10.87
1992Q2,948.7024,411.2355,439.5869,11.27
1992Q3,948.4413,411.3561,438.6457,11.37
1992Q4,948.4955,412.1452,438.5988,11.37
1993Q1,949.0614,412.8781,438.5218,11.10
1993Q2,949.3025,413.4982,436.4780,11.37
1993Q3,950.1048,414.3949,437.7565,11.17
1993Q4,951.3432,414.4965,439.5455,10.80
1994Q1,952.6449,415.8109,438.7575,10.63
1994Q2,954.0165,417.0975,439.3574,10.30
1994Q3,955.3285,418.1576,440.5766,10.03
1994Q4,956.7070,418.3834,442.3785,9.60
1995Q1,957.4107,418.2932,443.4379,9.50
1995Q2,957.8200,418.1997,443.7727,9.47
1995Q3,958.0217,418.3174,443.1449,9.40
1995Q4,957.6484,418.8613,443.5764,9.43
1996Q1,957.8254,419.1530,443.4164,9.40
1996Q2,958.3380,420.3131,444.3174,9.43
1996Q3,959.1963,420.5260,445.6699,9.87
1996Q4,960.2765,420.0985,446.7667,9.87
1997Q1,961.3128,421.0105,447.4665,9.53
1997Q2,962.5862,421.6905,449.3826,9.17
1997Q3,964.2786,422.0834,451.4370,8.73
1997Q4,965.8321,422.7748,451.4299,8.53
1998Q1,966.7059,422.9174,454.0600,8.30
1998Q2,967.1254,422.9998,455.0899,8.27
1998Q3,967.7338,423.6277,455.1809,8.17
1998Q4,968.4785,424.3177,455.9555,7.97
1999Q1,969.6013,425.0127,457.4060,7.77
1999Q2,970.6439,425.4861,459.7879,7.37
1999Q3,972.0314,426.1379,461.7924,7.17
1999Q4,973.2836,426.8217,463.4244,6.73
2000Q1,974.6973,427.6285,465.5636,6.67
2000Q2,975.8546,427.7748,467.5696,6.57
2000Q3,976.7924,428.4583,468.7327,6.73
2000Q4,977.4492,428.7303,469.8265,6.87
