date,country,gdp,inflation,interest_rate,unemployment
2004-01-01,US,2.7032,1.0153,3.1548,5.3841
2004-01-01,UK,1.9824,3.0377,2.6076,5.2177
2004-01-01,DE,1.6322,1.5571,0.9609,4.8293
2004-01-01,JP,1.4251,0.3131,0.143,3.461
2004-01-01,BR,3.3394,4.5551,8.2035,8.2317
2004-04-01,US,2.5061,1.7666,2.9865,5.1349
2004-04-01,UK,1.7287,3.1023,2.312,5.4947
2004-04-01,DE,1.5732,1.3657,1.031,5.0737
2004-04-01,JP,1.2959,0.1204,0.3853,3.4539
2004-04-01,BR,4.202,4.8629,7.983,8.5651
2004-07-01,US,1.9416,1.8928,3.5884,5.0425
2004-07-01,UK,1.3646,2.7372,2.8172,5.6301
2004-07-01,DE,1.3121,1.4021,1.0778,4.8889
2004-07-01,JP,1.5731,0.6554,0.555,3.1076
2004-07-01,BR,3.1723,5.042,7.5512,8.2506
2004-10-01,US,2.3199,1.6319,2.9479,4.9915
2004-10-01,UK,1.8346,2.9534,2.7815,5.603
2004-10-01,DE,1.1977,1.3054,1.1264,4.8153
2004-10-01,JP,1.4041,-0.0463,0.2838,3.7176
2004-10-01,BR,3.0937,4.5905,8.4039,8.1105
2005-01-01,US,2.5091,1.9088,2.8758,4.793
2005-01-01,UK,2.5551,3.0489,2.8427,5.7361
2005-01-01,DE,1.0763,1.9572,1.0471,4.7532
2005-01-01,JP,0.7088,-0.363,0.4659,3.3763
2005-01-01,BR,2.4417,4.9594,8.8761,8.4992
2005-04-01,US,2.4168,1.9447,3.2104,5.2528
2005-04-01,UK,2.1544,2.825,2.7393,5.7824
2005-04-01,DE,1.2543,1.8043,1.6903,4.9974
2005-04-01,JP,0.9678,0.6445,0.3848,3.942
2005-04-01,BR,2.8836,5.9701,8.2054,8.0948
2005-07-01,US,2.5735,2.1075,3.6863,4.9336
2005-07-01,UK,2.3347,3.0463,2.8101,5.3616
2005-07-01,DE,1.7817,2.1808,1.7926,4.8096
2005-07-01,JP,1.0467,0.5526,0.6374,3.7122
2005-07-01,BR,2.6974,5.1077,7.9614,8.1511
2005-10-01,US,2.5337,2.1588,3.4388,4.7944
2005-10-01,UK,2.6223,2.7516,2.5331,5.592
2005-10-01,DE,1.0587,1.7371,1.975,4.1112
2005-10-01,JP,1.3602,0.9767,0.4736,3.6878
2005-10-01,BR,3.1968,4.9328,8.2523,7.8835
2006-01-01,US,2.385,1.8696,3.2848,5.2522
2006-01-01,UK,2.2434,2.2669,2.2252,5.6456
2006-01-01,DE,1.8519,1.913,1.6336,4.5551
2006-01-01,JP,1.1422,0.5972,0.2022,4.0103
2006-01-01,BR,2.339,5.2069,8.0435,7.8199
2006-04-01,US,2.9482,1.7289,2.9204,5.0862
2006-04-01,UK,2.2263,2.23,1.9229,5.305
2006-04-01,DE,2.0462,1.8743,1.7041,4.4482
2006-04-01,JP,0.8671,1.0385,0.27,3.5939
2006-04-01,BR,3.0245,4.8987,7.8653,7.9185
2006-07-01,US,2.6987,1.9242,3.5854,5.1496
2006-07-01,UK,1.4092,2.4423,2.2827,5.41
2006-07-01,DE,1.8394,1.8355,1.5805,4.6439
2006-07-01,JP,0.7869,0.4551,1.2775,3.3066
2006-07-01,BR,3.0549,4.5122,7.9371,7.6706
2006-10-01,US,2.4409,2.2844,3.395,5.2435
2006-10-01,UK,1.1895,3.0207,2.0414,5.9201
2006-10-01,DE,1.9537,1.9858,1.3029,4.5979
2006-10-01,JP,0.7373,0.4521,0.8615,2.8057
2006-10-01,BR,3.3628,4.7613,7.8177,7.6503
2007-01-01,US,2.5873,1.9069,2.4828,5.2208
2007-01-01,UK,1.7476,2.774,1.8861,5.7224
2007-01-01,DE,1.2652,1.5776,1.1763,4.785
2007-01-01,JP,0.7511,0.3644,1.2916,3.2977
2007-01-01,BR,3.2753,4.7808,7.7024,7.1467
2007-04-01,US,2.8175,2.0595,2.7362,5.0582
2007-04-01,UK,2.0787,2.2035,2.0072,5.2539
2007-04-01,DE,1.9228,1.9577,0.6607,4.1836
2007-04-01,JP,0.8244,0.2704,0.524,3.9931
2007-04-01,BR,3.2286,5.0304,7.6044,7.7524
2007-07-01,US,2.5446,1.9265,3.0435,4.5376
2007-07-01,UK,2.5308,2.3891,2.6676,5.0489
2007-07-01,DE,1.4652,1.501,1.1162,4.374
2007-07-01,JP,0.7657,0.0693,0.1078,3.6914
2007-07-01,BR,2.9811,4.7999,8.1883,7.829
2007-10-01,US,2.9046,1.7877,3.0708,4.7745
2007-10-01,UK,1.77,2.8468,2.5779,5.5016
2007-10-01,DE,1.291,1.6103,1.0275,4.8105
2007-10-01,JP,0.9664,0.4192,0.6965,3.9032
2007-10-01,BR,3.2225,4.4715,7.9031,7.6052
2008-01-01,US,2.8866,1.9265,2.5967,4.8649
2008-01-01,UK,1.4509,2.6816,2.012,5.6631
2008-01-01,DE,1.5263,2.276,1.5072,4.5298
2008-01-01,JP,1.223,0.0131,0.3128,3.7754
2008-01-01,BR,2.4589,4.7468,7.6127,7.8202
2008-04-01,US,2.3521,2.0673,2.8185,5.3708
2008-04-01,UK,1.7236,2.3941,2.1602,5.1668
2008-04-01,DE,1.6076,2.1646,2.2359,4.3258
2008-04-01,JP,1.0106,0.1054,0.4255,3.7453
2008-04-01,BR,2.7254,5.2463,7.537,8.1829
2008-07-01,US,2.5927,2.0294,2.8482,5.8862
2008-07-01,UK,1.6237,2.5452,2.1353,5.886
2008-07-01,DE,1.7764,1.7596,2.0368,4.4846
2008-07-01,JP,0.8291,0.5492,0.5549,3.6773
2008-07-01,BR,2.8499,5.2556,7.7702,8.1004
2008-10-01,US,2.3382,2.5151,2.6451,5.5308
2008-10-01,UK,1.7015,3.0653,2.0338,5.4734
2008-10-01,DE,1.3187,1.9001,1.3647,4.3555
2008-10-01,JP,0.2535,0.591,0.3742,3.143
2008-10-01,BR,3.2538,4.729,8.0989,7.8514
2009-01-01,US,2.918,2.5016,2.5449,4.937
2009-01-01,UK,2.027,2.7845,2.2078,5.872
2009-01-01,DE,1.1754,1.8775,1.7017,4.6766
2009-01-01,JP,0.5543,0.4851,-0.0733,2.9918
2009-01-01,BR,3.1996,4.8421,8.0689,8.2346
2009-04-01,US,2.3619,2.1783,2.8361,4.7545
2009-04-01,UK,2.4263,2.9563,2.4256,6.2072
2009-04-01,DE,0.8749,1.8337,1.7024,4.3111
2009-04-01,JP,0.8645,0.2141,0.4038,3.5722
2009-04-01,BR,3.1659,4.3776,7.7285,8.2953
2009-07-01,US,2.4515,1.2853,3.2991,4.9309
2009-07-01,UK,1.9216,3.0624,2.2323,5.6108
2009-07-01,DE,1.3032,2.3445,2.083,4.544
2009-07-01,JP,1.0659,0.6085,0.0627,3.736
2009-07-01,BR,2.8337,4.8295,7.71,8.2943
2009-10-01,US,2.4604,0.7212,3.1947,5.1844
2009-10-01,UK,2.0851,2.8079,2.8611,5.6466
2009-10-01,DE,1.4905,2.3489,1.9166,4.2501
2009-10-01,JP,0.2986,0.4176,0.4793,3.4982
2009-10-01,BR,3.1474,4.9903,8.1793,8.0596
2010-01-01,US,2.5249,1.4806,3.58,4.5936
2010-01-01,UK,1.9045,2.9152,3.124,5.6466
2010-01-01,DE,1.3709,2.2571,1.9978,4.27
2010-01-01,JP,0.7237,0.8162,1.0891,3.6992
2010-01-01,BR,3.074,4.9641,8.2965,8.0047
2010-04-01,US,2.5265,1.4408,3.6588,4.4918
2010-04-01,UK,1.8309,2.7664,3.3754,5.4439
2010-04-01,DE,1.2036,1.8408,2.2941,3.5438
2010-04-01,JP,0.5518,1.4324,1.0352,3.2539
2010-04-01,BR,3.0182,5.0051,8.479,8.5617
2010-07-01,US,2.578,1.578,3.5453,4.5593
2010-07-01,UK,1.6231,2.1122,2.4384,5.2029
2010-07-01,DE,0.9894,1.9496,1.5812,3.1055
2010-07-01,JP,0.4619,0.7641,0.6741,3.8316
2010-07-01,BR,2.8061,5.271,8.3334,8.2829
2010-10-01,US,2.2349,1.7765,2.9994,4.8444
2010-10-01,UK,1.7432,1.9874,2.7946,5.4654
2010-10-01,DE,1.1288,1.9133,1.5083,3.5988
