horizon,variable,response_to_mp_shock,shock,response
0,IP_total,0.00024067824519311283,,
0,IP_manufacturing,0.0007650007353389382,,
0,GDP_services,0.0007893615225128875,,
0,CPI_all,0.0021232685748541406,,
0,PPI_finished,0.001501346157563054,,
0,Core_PCE,0.001919436233280319,,
0,Unemp_total,0.00017294687278457592,,
0,Unemp_duration,-0.00023078094729253427,,
0,Output_gap,-0.00037737266500534306,,
0,Bond_10y,0.007446468029342032,,
0,Money_mkt,0.005643475764377458,,
0,Confidence,0.000551196720440286,,
1,IP_total,-0.034646584386757585,,
1,IP_manufacturing,-0.036555338817972134,,
1,GDP_services,-0.02927882343819741,,
1,CPI_all,0.005051162783718418,,
1,PPI_finished,0.007438989740053498,,
1,Core_PCE,-0.002306006400343803,,
1,Unemp_total,-0.030452527235651453,,
1,Unemp_duration,-0.02907237447684588,,
1,Output_gap,0.00972716335774282,,
1,Bond_10y,0.014732297801918356,,
1,Money_mkt,0.023834231671345532,,
1,Confidence,0.004914238104029879,,
2,IP_total,-0.030340670847370157,,
2,IP_manufacturing,-0.024876711743580467,,
2,GDP_services,-0.03774507993537377,,
2,CPI_all,-0.04442812812410373,,
2,PPI_finished,-0.04717592840959364,,
2,Core_PCE,-0.04751804850185485,,
2,Unemp_total,0.016181772541677544,,
2,Unemp_duration,0.014152411915060385,,
2,Output_gap,0.025518828942382672,,
2,Bond_10y,-0.004454839084238746,,
2,Money_mkt,-0.006029378248598008,,
2,Confidence,-0.024868127252694043,,
3,IP_total,-0.04790622709790316,,
3,IP_manufacturing,-0.04148592327672209,,
3,GDP_services,-0.05404146154605179,,
3,CPI_all,-0.04839591383140164,,
3,PPI_finished,-0.051303359913566396,,
3,Core_PCE,-0.05527398146662512,,
3,Unemp_total,0.018414372686335168,,
3,Unemp_duration,0.016617548235940853,,
3,Output_gap,0.03897347930757225,,
3,Bond_10y,-0.004120269870107276,,
3,Money_mkt,-0.0037938713712344766,,
3,Confidence,-0.03480631470575397,,
4,IP_total,-0.03919498672846166,,
4,IP_manufacturing,-0.031518778296633354,,
4,GDP_services,-0.04679744464955737,,
4,CPI_all,-0.05049060184434408,,
4,PPI_finished,-0.054625532571401236,,
4,Core_PCE,-0.05571369267589989,,
4,Unemp_total,0.03254214811866784,,
4,Unemp_duration,0.030178632172318493,,
4,Output_gap,0.03967487561044612,,
4,Bond_10y,-0.00833281633511077,,
4,Money_mkt,-0.011688948969667576,,
4,Confidence,-0.040465951766075224,,
5,IP_total,-0.03852838640554418,,
5,IP_manufacturing,-0.03060835037095984,,
5,GDP_services,-0.045260609217488125,,
5,CPI_all,-0.04708301142545934,,
5,PPI_finished,-0.051492594998363506,,
5,Core_PCE,-0.05271665971555469,,
5,Unemp_total,0.03727553766917619,,
5,Unemp_duration,0.03499278047539563,,
5,Output_gap,0.04194355958918673,,
5,Bond_10y,-0.0088074521951141,,
5,Money_mkt,-0.012902860195798551,,
5,Confidence,-0.04350359665570559,,
6,IP_total,-0.0319104396453779,,
6,IP_manufacturing,-0.024225800362775836,,
6,GDP_services,-0.03770162843222959,,
6,CPI_all,-0.04038842328260727,,
6,PPI_finished,-0.04492764943917586,,
6,Core_PCE,-0.04534052630858793,,
6,Unemp_total,0.040898976045487985,,
6,Unemp_duration,0.03872823644465069,,
6,Output_gap,0.039669603820484095,,
6,Bond_10y,-0.009039712210976181,,
6,Money_mkt,-0.014355465885673086,,
6,Confidence,-0.04296121192330868,,
7,IP_total,-0.02707313823533168,,
7,IP_manufacturing,-0.01989936322075304,,
7,GDP_services,-0.03164940701353066,,
7,CPI_all,-0.033354471633433816,,
7,PPI_finished,-0.03775443350521533,,
7,Core_PCE,-0.03794569789103254,,
7,Unemp_total,0.04145079785698353,,
7,Unemp_duration,0.0395110162363963,,
7,Output_gap,0.037154434997758105,,
7,Bond_10y,-0.008453558217364836,,
7,Money_mkt,-0.014192755594963271,,
7,Confidence,-0.04113770912444049,,
8,IP_total,-0.021843942402852732,,
8,IP_manufacturing,-0.01534077340373626,,
8,GDP_services,-0.025275314252643392,,
8,CPI_all,-0.02631300761241995,,
8,PPI_finished,-0.03045712587225486,,
8,Core_PCE,-0.03038932656098807,,
8,Unemp_total,0.04054427767399797,,
8,Unemp_duration,0.0388528052446978,,
8,Output_gap,0.03361652150843306,,
8,Bond_10y,-0.007641927294155456,,
8,Money_mkt,-0.013598534570935517,,
8,Confidence,-0.03811176302856534,,
9,IP_total,-0.017543364016417106,,
9,IP_manufacturing,-0.011758793311884508,,
9,GDP_services,-0.01995356802850952,,
9,CPI_all,-0.020137600814360803,,
9,PPI_finished,-0.02394315527453029,,
9,Core_PCE,-0.023770731103914935,,
9,Unemp_total,0.03839783178051786,,
9,Unemp_duration,0.036958415954759564,,
9,Output_gap,0.030035646366810203,,
9,Bond_10y,-0.0066822569543372925,,
9,Money_mkt,-0.012544178529418262,,
9,Confidence,-0.034656458943071504,,
10,IP_total,-0.013850474922708094,,
10,IP_manufacturing,-0.008776222590412597,,
10,GDP_services,-0.015423178370372857,,
10,CPI_all,-0.014932163542375483,,
10,PPI_finished,-0.018369524645588813,,
10,Core_PCE,-0.018133122284912324,,
10,Unemp_total,0.03560284316256008,,
10,Unemp_duration,0.03439467916981239,,
10,Output_gap,0.02647002980826653,,
10,Bond_10y,-0.0057333739627463305,,
10,Money_mkt,-0.011341552513772134,,
10,Confidence,-0.031028096984749485,,
11,IP_total,-0.010900021832359563,,
11,IP_manufacturing,-0.006489353502674762,,
11,GDP_services,-0.011817442935681537,,
11,CPI_all,-0.010774488524172324,,
11,PPI_finished,-0.013839524707993692,,
11,Core_PCE,-0.013590269170502314,,
11,Unemp_total,0.03245285584945426,,
11,Unemp_duration,0.03144907682016336,,
11,Output_gap,0.023158268658637796,,
11,Bond_10y,-0.004847167642840668,,
11,Money_mkt,-0.010080177340170672,,
11,Confidence,-0.027494234410293607,,
12,IP_total,-0.00855754321911774,,
12,IP_manufacturing,-0.004745968435084122,,
12,GDP_services,-0.00898919333433555,,
12,CPI_all,-0.007564240138655018,,
12,PPI_finished,-0.01027309661912436,,
12,Core_PCE,-0.010032678128407298,,
12,Unemp_total,0.029217339077703075,,
12,Unemp_duration,0.028387398421482003,,
12,Output_gap,0.020149589364564704,,
12,Bond_10y,-0.004063251674691211,,
12,Money_mkt,-0.008862597936088595,,
12,Confidence,-0.02417904010268109,,
13,IP_total,-0.006749214684188991,,
13,IP_manufacturing,-0.0034654432804760824,,
13,GDP_services,-0.006838112786102806,,
13,CPI_all,-0.005172128101753623,,
13,PPI_finished,-0.007551104794401249,,
13,Core_PCE,-0.007334456855217488,,
13,Unemp_total,0.026056206069525613,,
13,Unemp_duration,0.025370950201313233,,
13,Output_gap,0.017484241068068933,,
13,Bond_10y,-0.003389911089486896,,
13,Money_mkt,-0.00773110257158951,,
13,Confidence,-0.021159907918590556,,
14,IP_total,-0.005366229823910036,,
14,IP_manufacturing,-0.002539907780201034,,
14,GDP_services,-0.005227657479899878,,
14,CPI_all,-0.0034438405895752537,,
14,PPI_finished,-0.005524672205676602,,
14,Core_PCE,-0.0053369408971348925,,
14,Unemp_total,0.023078039162163666,,
14,Unemp_duration,0.022511054856493573,,
14,Output_gap,0.015153624045982597,,
14,Bond_10y,-0.002825433977020027,,
14,Money_mkt,-0.006712459262491344,,
14,Confidence,-0.018462138585367018,,
15,IP_total,-0.0043202568954393925,,
15,IP_manufacturing,-0.0018860583748214383,,
15,GDP_services,-0.004042365751340846,,
15,CPI_all,-0.0022346708207857673,,
