date,y,x1,x2,x3
1970-01-01,0.3828,-4.3986,0.7144,1.1432
1970-04-01,0.443,-4.8306,-0.3006,0.9688
1970-07-01,0.2693,-3.7811,-0.5949,0.8663
1970-10-01,0.2261,-4.2531,0.277,0.5914
1971-01-01,-1.2595,-4.7324,0.1692,0.263
1971-04-01,-0.9861,-4.2695,0.4417,0.6998
1971-07-01,-0.89,-3.6292,0.9351,0.8733
1971-10-01,-1.235,-3.2407,0.1862,1.2844
1972-01-01,-1.7434,-4.5592,0.868,1.2991
1972-04-01,-1.3295,-4.0988,0.8996,1.627
1972-07-01,-1.3064,-4.8962,-0.695,1.3957
1972-10-01,-1.6076,-4.678,1.0253,2.7535
1973-01-01,-1.9263,-5.787,0.1144,1.8328
1973-04-01,-2.501,-5.3999,-1.5864,2.6093
1973-07-01,-3.3198,-6.0152,-1.9969,3.4501
1973-10-01,-3.5799,-7.0113,-2.2192,2.9588
1974-01-01,-3.236,-6.4102,-1.2793,4.3163
1974-04-01,-2.5679,-6.1869,-1.0415,4.9336
1974-07-01,-3.0292,-6.6481,-0.9617,5.5363
1974-10-01,-2.7529,-5.4572,0.0427,5.5731
1975-01-01,-2.6396,-5.7797,0.3655,5.4628
1975-04-01,-2.1675,-5.724,0.5353,5.3572
1975-07-01,-1.7036,-5.4789,0.731,5.6115
1975-10-01,-2.1366,-5.9446,1.0548,6.4722
1976-01-01,-2.3536,-5.5377,-1.4751,6.601
1976-04-01,-2.6403,-5.9345,-1.2495,6.0741
1976-07-01,-2.2354,-6.2338,-2.9299,6.5888
1976-10-01,-1.3667,-5.1137,-1.7219,7.1615
1977-01-01,-2.476,-5.9161,-1.0378,7.5743
1977-04-01,-3.1463,-7.8163,0.4229,8.0415
1977-07-01,-2.929,-6.4976,1.4414,7.899
1977-10-01,-1.9437,-4.4281,1.0676,7.3616
1978-01-01,-1.6648,-4.7224,0.1402,6.8607
1978-04-01,-1.416,-6.2418,0.5693,5.8994
1978-07-01,-2.1311,-6.4602,-0.1864,6.0616
1978-10-01,-2.633,-6.6592,-0.1132,6.0315
1979-01-01,-3.4456,-6.7811,0.9182,5.7875
1979-04-01,-3.654,-7.6418,-0.0068,4.0341
1979-07-01,-3.6051,-7.1482,0.8016,3.3058
1979-10-01,-3.1384,-6.6986,1.1583,3.9983
1980-01-01,-3.9662,-7.8641,-0.2598,3.6195
1980-04-01,-3.3452,-7.2747,0.818,3.8558
1980-07-01,-3.0783,-5.6026,1.1894,3.0414
1980-10-01,-3.196,-5.435,0.8156,3.9246
1981-01-01,-1.9504,-5.6749,-0.273,3.8582
1981-04-01,-2.9231,-5.7585,-1.023,4.0523
1981-07-01,-3.3661,-5.2363,-1.1515,5.4677
1981-10-01,-2.6028,-6.5908,-0.1483,6.3976
1982-01-01,-1.362,-6.4293,-1.0446,6.2336
1982-04-01,-2.3664,-6.7117,-0.1892,5.8977
1982-07-01,-2.394,-5.2034,-1.3553,5.7224
1982-10-01,-2.3791,-5.3128,-1.0173,6.0483
1983-01-01,-0.9464,-3.9485,-0.5007,6.0052
1983-04-01,-1.1183,-4.8014,2.1447,5.788
