dataset,model,step,forecast,lower_95,upper_95
nile,"ARIMA(1,1,1)",1,76.1809,-199.3967,351.7584
nile,"ARIMA(1,1,1)",2,19.3786,-304.8326,343.5899
nile,"ARIMA(1,1,1)",3,4.9295,-322.1798,332.0387
nile,"ARIMA(1,1,1)",4,1.2539,-326.0419,328.5498
nile,"ARIMA(1,1,1)",5,0.319,-326.989,327.6269
nile,"ARIMA(1,1,1)",6,0.0811,-327.2276,327.3898
nile,"ARIMA(1,1,1)",7,0.0206,-327.2881,327.3294
nile,"ARIMA(1,1,1)",8,0.0053,-327.3035,327.314
nile,"ARIMA(1,1,1)",9,0.0013,-327.3074,327.3101
nile,"ARIMA(1,1,1)",10,0.0003,-327.3084,327.3091
airline,"ARIMA(1,1,1)",1,0.059174,-0.132814,0.251162
airline,"ARIMA(1,1,1)",2,-0.015286,-0.216279,0.185708
airline,"ARIMA(1,1,1)",3,0.003949,-0.197631,0.205529
airline,"ARIMA(1,1,1)",4,-0.00102,-0.202639,0.200599
airline,"ARIMA(1,1,1)",5,0.000264,-0.201358,0.201885
airline,"ARIMA(1,1,1)",6,-6.8e-05,-0.20169,0.201554
airline,"ARIMA(1,1,1)",7,1.8e-05,-0.201604,0.20164
airline,"ARIMA(1,1,1)",8,-5e-06,-0.201627,0.201618
airline,"ARIMA(1,1,1)",9,1e-06,-0.201621,0.201623
airline,"ARIMA(1,1,1)",10,-0.0,-0.201622,0.201622
airline,"ARIMA(1,1,1)",11,0.0,-0.201622,0.201622
airline,"ARIMA(1,1,1)",12,-0.0,-0.201622,0.201622
airline,"ARIMA(2,1,2)",1,0.080879,-0.112579,0.274338
airline,"ARIMA(2,1,2)",2,-0.000655,-0.196849,0.195539
airline,"ARIMA(2,1,2)",3,-0.003605,-0.209363,0.202153
airline,"ARIMA(2,1,2)",4,-0.002093,-0.211285,0.207099
airline,"ARIMA(2,1,2)",5,-0.001087,-0.211207,0.209033
airline,"ARIMA(2,1,2)",6,-0.000556,-0.210918,0.209807
airline,"ARIMA(2,1,2)",7,-0.000283,-0.210709,0.210142
airline,"ARIMA(2,1,2)",8,-0.000145,-0.210587,0.210297
airline,"ARIMA(2,1,2)",9,-7.4e-05,-0.21052,0.210373
airline,"ARIMA(2,1,2)",10,-3.8e-05,-0.210485,0.21041
airline,"ARIMA(2,1,2)",11,-1.9e-05,-0.210467,0.210429
airline,"ARIMA(2,1,2)",12,-1e-05,-0.210458,0.210438
