dataset,method,model,aic,bic,aicc,loglik,n_params
airline,manual_grid,"ARIMA(0,1,1)(0,1,1)[12]",-483.393,-474.7674,-483.204,244.6965,3
airline,manual_grid,"ARIMA(0,1,1)(1,1,1)[12]",-481.9063,-470.4055,-481.5888,244.9531,4
airline,manual_grid,"ARIMA(1,1,1)(0,1,1)[12]",-481.893,-470.3922,-481.5755,244.9465,4
airline,manual_grid,"ARIMA(1,1,0)(0,1,1)[12]",-481.4838,-472.8582,-481.2949,243.7419,3
airline,manual_grid,"ARIMA(0,1,2)(0,1,1)[12]",-481.6103,-470.1095,-481.2929,244.8052,4
airline,manual_grid,"ARIMA(1,1,1)(1,1,1)[12]",-480.3038,-465.9278,-479.8238,245.1519,5
airline,manual_grid,"ARIMA(2,1,1)(0,1,1)[12]",-479.8125,-465.4366,-479.3325,244.9063,5
nile,auto_arima,"ARIMA(1,0,1)",1282.1265,1292.5471,1282.5475,-637.0632,4
airline,auto_arima,"ARIMA(0,2,2)(0,1,1)[12]",-469.4269,-457.9567,-469.1069,238.7134,4
ipca,auto,"ARIMA(1,0,2)(1,0,1)[12]",-263.3349,-238.9705,-262.8522,138.6675,7
ipca,manual,"ARIMA(1,1,1)(0,1,1)[12]",-183.9207,-170.2209,-183.7405,95.9603,4
nile,aic_selection,"ARIMA(1,0,1)",1282.1265,1292.5471,1282.5475,-637.0632,4
nile,bic_selection,"ARIMA(1,0,1)",1282.1265,1292.5471,1282.5475,-637.0632,4
