date,co2_ppm
1959-01-01,314.59
1959-02-01,315.03
1959-03-01,316.53
1959-04-01,318.16
1959-05-01,317.98
1959-06-01,316.97
1959-07-01,315.46
1959-08-01,313.59
1959-09-01,312.59
1959-10-01,312.69
1959-11-01,314.44
1959-12-01,315.69
1960-01-01,315.95
1960-02-01,317.01
1960-03-01,318.03
1960-04-01,319.01
1960-05-01,319.82
1960-06-01,318.6
1960-07-01,317.13
1960-08-01,315.12
1960-09-01,313.94
1960-10-01,314.07
1960-11-01,315.89
1960-12-01,316.79
1961-01-01,317.03
1961-02-01,317.81
1961-03-01,319.17
1961-04-01,320.64
1961-05-01,321.29
1961-06-01,320.42
1961-07-01,319.04
1961-08-01,316.58
1961-09-01,315.23
1961-10-01,315.35
1961-11-01,317.02
1961-12-01,318.44
1962-01-01,318.6
1962-02-01,319.1
1962-03-01,320.1
1962-04-01,321.92
1962-05-01,322.72
1962-06-01,321.84
1962-07-01,319.58
1962-08-01,317.8
1962-09-01,316.71
1962-10-01,317.07
1962-11-01,318.6
1962-12-01,319.62
1963-01-01,320.13
1963-02-01,320.81
1963-03-01,321.94
1963-04-01,323.48
1963-05-01,323.52
1963-06-01,322.73
1963-07-01,320.82
1963-08-01,318.86
1963-09-01,317.84
1963-10-01,318.73
1963-11-01,319.58
1963-12-01,321.07
1964-01-01,320.84
1964-02-01,321.81
1964-03-01,323.15
1964-04-01,324.79
1964-05-01,325.54
1964-06-01,324.72
1964-07-01,322.49
1964-08-01,320.41
1964-09-01,319.64
1964-10-01,319.78
1964-11-01,320.72
1964-12-01,321.74
1965-01-01,322.18
1965-02-01,323.44
1965-03-01,324.65
1965-04-01,326.28
1965-05-01,326.65
1965-06-01,325.82
1965-07-01,324.07
1965-08-01,321.94
1965-09-01,320.98
1965-10-01,321.02
1965-11-01,322.35
1965-12-01,323.47
1966-01-01,323.65
1966-02-01,324.89
1966-03-01,325.9
1966-04-01,327.45
1966-05-01,328.26
1966-06-01,327.42
1966-07-01,325.59
1966-08-01,323.47
1966-09-01,322.19
1966-10-01,322.54
1966-11-01,323.42
1966-12-01,324.45
1967-01-01,324.87
1967-02-01,325.81
1967-03-01,327.41
1967-04-01,328.65
1967-05-01,329.36
1967-06-01,328.99
1967-07-01,326.78
1967-08-01,325.07
1967-09-01,323.54
1967-10-01,323.92
1967-11-01,325.08
1967-12-01,326.33
1968-01-01,327.15
1968-02-01,327.38
1968-03-01,328.94
1968-04-01,330.5
1968-05-01,330.93
1968-06-01,329.69
1968-07-01,328.08
1968-08-01,326.09
1968-09-01,325.19
1968-10-01,325.54
1968-11-01,327.38
1968-12-01,328.17
1969-01-01,328.23
1969-02-01,329.28
1969-03-01,330.53
1969-04-01,332.38
1969-05-01,333.02
1969-06-01,331.96
1969-07-01,330.3
1969-08-01,327.68
1969-09-01,326.46
1969-10-01,326.66
1969-11-01,328.13
1969-12-01,329.04
1970-01-01,329.98
1970-02-01,330.77
1970-03-01,331.53
1970-04-01,332.98
1970-05-01,334.02
1970-06-01,333.42
1970-07-01,331.96
1970-08-01,330.48
1970-09-01,328.8
1970-10-01,328.49
1970-11-01,329.25
1970-12-01,330.9
1971-01-01,331.2
1971-02-01,332.12
1971-03-01,333.26
1971-04-01,334.86
1971-05-01,335.92
1971-06-01,334.91
1971-07-01,332.82
1971-08-01,330.56
1971-09-01,329.12
1971-10-01,329.69
1971-11-01,331.29
1971-12-01,333.09
1972-01-01,333.29
1972-02-01,334.31
1972-03-01,335.1
1972-04-01,336.23
1972-05-01,336.8
1972-06-01,335.93
1972-07-01,334.86
1972-08-01,332.37
1972-09-01,331.53
1972-10-01,331.46
1972-11-01,333.23
1972-12-01,334.39
1973-01-01,334.67
1973-02-01,335.5
1973-03-01,336.48
1973-04-01,338.22
1973-05-01,338.7
1973-06-01,337.49
1973-07-01,335.4
1973-08-01,333.83
1973-09-01,333.28
1973-10-01,333.43
1973-11-01,334.65
1973-12-01,335.89
1974-01-01,336.66
1974-02-01,337.33
1974-03-01,338.24
1974-04-01,340.09
1974-05-01,340.68
1974-06-01,340.07
1974-07-01,337.83
1974-08-01,335.34
1974-09-01,333.96
1974-10-01,335.1
1974-11-01,336.84
1974-12-01,337.59
1975-01-01,337.8
1975-02-01,339.13
1975-03-01,339.73
1975-04-01,341.05
1975-05-01,342.11
1975-06-01,341.04
1975-07-01,339.13
1975-08-01,337.14
1975-09-01,336.16
1975-10-01,336.88
1975-11-01,338.03
1975-12-01,339.29
1976-01-01,338.96
1976-02-01,340.12
1976-03-01,341.19
1976-04-01,342.53
1976-05-01,343.23
1976-06-01,342.49
1976-07-01,340.97
1976-08-01,338.51
1976-09-01,337.59
1976-10-01,337.87
1976-11-01,339.29
1976-12-01,340.89
1977-01-01,341.37
1977-02-01,342.49
1977-03-01,343.34
1977-04-01,344.55
1977-05-01,345.23
1977-06-01,344.47
1977-07-01,342.53
1977-08-01,340.2
1977-09-01,339.28
1977-10-01,339.75
1977-11-01,341.9
1977-12-01,343.19
1978-01-01,342.87
1978-02-01,343.61
1978-03-01,344.4
1978-04-01,346.01
1978-05-01,347.0
1978-06-01,346.47
1978-07-01,344.07
1978-08-01,341.95
1978-09-01,340.31
1978-10-01,341.05
1978-11-01,342.35
1978-12-01,343.67
1979-01-01,344.07
1979-02-01,345.17
1979-03-01,345.95
1979-04-01,347.4
1979-05-01,349.12
1979-06-01,347.59
1979-07-01,345.43
1979-08-01,344.25
1979-09-01,343.76
1979-10-01,343.15
1979-11-01,344.42
1979-12-01,345.78
1980-01-01,346.72
1980-02-01,346.99
1980-03-01,348.17
1980-04-01,349.99
1980-05-01,350.68
1980-06-01,349.53
1980-07-01,347.52
1980-08-01,345.15
1980-09-01,344.21
1980-10-01,344.63
1980-11-01,346.23
1980-12-01,347.28
1981-01-01,347.98
1981-02-01,349.13
1981-03-01,350.19
1981-04-01,351.72
1981-05-01,352.31
1981-06-01,351.34
1981-07-01,349.11
1981-08-01,347.34
1981-09-01,346.16
1981-10-01,347.16
1981-11-01,348.69
1981-12-01,349.59
1982-01-01,349.59
1982-02-01,350.19
1982-03-01,351.98
1982-04-01,353.47
1982-05-01,354.2
1982-06-01,352.63
1982-07-01,351.17
1982-08-01,349.26
1982-09-01,347.68
1982-10-01,348.06
1982-11-01,349.72
1982-12-01,350.96
1983-01-01,351.34
1983-02-01,352.26
1983-03-01,353.44
1983-04-01,355.09
1983-05-01,356.22
1983-06-01,354.26
1983-07-01,352.54
1983-08-01,350.78
1983-09-01,349.77
1983-10-01,349.99
1983-11-01,350.95
1983-12-01,352.61
1984-01-01,353.68
1984-02-01,353.84
1984-03-01,355.49
1984-04-01,356.85
1984-05-01,357.55
1984-06-01,356.32
1984-07-01,354.42
1984-08-01,352.95
1984-09-01,351.8
1984-10-01,352.51
1984-11-01,353.93
1984-12-01,354.92
1985-01-01,355.69
1985-02-01,356.33
1985-03-01,357.57
1985-04-01,358.79
1985-05-01,359.45
1985-06-01,358.29
1985-07-01,356.69
1985-08-01,354.2
1985-09-01,353.45
1985-10-01,353.68
1985-11-01,355.49
1985-12-01,356.74
1986-01-01,357.54
1986-02-01,358.26
1986-03-01,358.72
1986-04-01,360.43
1986-05-01,360.85
1986-06-01,360.01
1986-07-01,358.64
1986-08-01,356.62
1986-09-01,355.07
1986-10-01,355.19
1986-11-01,356.86
1986-12-01,357.8
1987-01-01,358.33
1987-02-01,359.56
1987-03-01,361.18
1987-04-01,362.73
1987-05-01,362.55
1987-06-01,362.05
1987-07-01,360.14
1987-08-01,358.27
1987-09-01,357.54
1987-10-01,356.97
1987-11-01,358.5
1987-12-01,360.13
1988-01-01,360.11
1988-02-01,361.74
1988-03-01,362.94
1988-04-01,364.64
1988-05-01,364.97
1988-06-01,364.3
1988-07-01,362.47
1988-08-01,360.27
1988-09-01,359.05
1988-10-01,359.4
1988-11-01,360.52
1988-12-01,361.85
1989-01-01,362.36
1989-02-01,363.45
1989-03-01,364.96
1989-04-01,366.02
1989-05-01,366.8
1989-06-01,366.38
1989-07-01,363.89
1989-08-01,361.66
1989-09-01,360.73
1989-10-01,361.39
1989-11-01,362.72
1989-12-01,364.31
1990-01-01,364.8
1990-02-01,365.71
1990-03-01,366.88
1990-04-01,368.96
1990-05-01,369.1
1990-06-01,367.41
1990-07-01,366.16
1990-08-01,363.82
1990-09-01,362.71
1990-10-01,363.47
1990-11-01,364.23
1990-12-01,365.3
1991-01-01,365.61
1991-02-01,366.71
1991-03-01,368.41
1991-04-01,370.2
1991-05-01,370.91
1991-06-01,369.47
1991-07-01,366.97
1991-08-01,365.46
1991-09-01,364.35
1991-10-01,365.04
1991-11-01,366.71
1991-12-01,367.88
1992-01-01,368.52
1992-02-01,369.35
1992-03-01,370.67
1992-04-01,371.91
1992-05-01,372.64
1992-06-01,371.83
1992-07-01,370.03
1992-08-01,367.72
1992-09-01,366.73
1992-10-01,366.94
1992-11-01,368.4
1992-12-01,369.95
1993-01-01,369.7
1993-02-01,370.55
1993-03-01,371.73
1993-04-01,373.04
1993-05-01,374.14
1993-06-01,373.78
1993-07-01,371.66
1993-08-01,369.73
1993-09-01,368.89
1993-10-01,369.47
1993-11-01,370.62
1993-12-01,372.18
1994-01-01,372.42
1994-02-01,372.97
1994-03-01,374.17
1994-04-01,375.47
1994-05-01,376.25
1994-06-01,375.5
1994-07-01,373.87
1994-08-01,372.27
1994-09-01,370.36
1994-10-01,370.98
1994-11-01,372.13
1994-12-01,373.73
1995-01-01,374.18
1995-02-01,374.59
1995-03-01,376.48
1995-04-01,377.88
1995-05-01,378.54
1995-06-01,377.41
1995-07-01,375.41
1995-08-01,373.71
1995-09-01,372.5
1995-10-01,373.02
1995-11-01,374.59
1995-12-01,376.18
1996-01-01,376.31
1996-02-01,376.77
1996-03-01,378.62
1996-04-01,380.04
1996-05-01,381.13
1996-06-01,380.11
1996-07-01,377.87
1996-08-01,375.89
1996-09-01,375.23
1996-10-01,375.86
1996-11-01,376.86
1996-12-01,377.97
1997-01-01,378.68
1997-02-01,379.14
1997-03-01,380.58
1997-04-01,382.16
1997-05-01,382.97
1997-06-01,381.72
1997-07-01,379.31
1997-08-01,376.97
1997-09-01,375.97
1997-10-01,376.63
1997-11-01,378.3
1997-12-01,380.32
