date,observed,trend_additive,seasonal_additive,residual_additive,trend_multiplicative,seasonal_multiplicative,residual_multiplicative
1949-01-01,112,,-24.748737,,,0.910230,
1949-02-01,118,,-36.188131,,,0.883625,
1949-03-01,132,,-2.241162,,,1.007366,
1949-04-01,129,,-8.036616,,,0.975906,
1949-05-01,121,,-4.506313,,,0.981378,
1949-06-01,135,,35.402778,,,1.112776,
1949-07-01,148,126.791667,63.830808,-42.622475,126.791667,1.226556,0.951664
1949-08-01,148,127.250000,62.823232,-42.073232,127.250000,1.219911,0.953401
1949-09-01,136,127.958333,16.520202,-8.478535,127.958333,1.060492,1.002220
1949-10-01,119,128.583333,-20.642677,11.059343,128.583333,0.921757,1.004028
1949-11-01,104,129.000000,-53.593434,28.593434,129.000000,0.801178,1.006270
1949-12-01,118,129.750000,-28.619949,16.869949,129.750000,0.898824,1.011812
1950-01-01,115,131.250000,-24.748737,8.498737,131.250000,0.910230,0.962603
1950-02-01,126,133.083333,-36.188131,29.104798,133.083333,0.883625,1.071467
1950-03-01,141,134.916667,-2.241162,8.324495,134.916667,1.007366,1.037447
1950-04-01,135,136.416667,-8.036616,6.619949,136.416667,0.975906,1.014048
1950-05-01,125,137.416667,-4.506313,-7.910354,137.416667,0.981378,0.926903
1950-06-01,149,138.750000,35.402778,-25.152778,138.750000,1.112776,0.965041
1950-07-01,170,140.916667,63.830808,-34.747475,140.916667,1.226556,0.983557
1950-08-01,170,143.166667,62.823232,-35.989899,143.166667,1.219911,0.973372
1950-09-01,158,145.708333,16.520202,-4.228535,145.708333,1.060492,1.022505
1950-10-01,133,148.416667,-20.642677,5.226010,148.416667,0.921757,0.972193
1950-11-01,114,151.541667,-53.593434,16.051768,151.541667,0.801178,0.938953
1950-12-01,140,154.708333,-28.619949,13.911616,154.708333,0.898824,1.006791
1951-01-01,145,157.125000,-24.748737,12.623737,157.125000,0.910230,1.013845
1951-02-01,150,159.541667,-36.188131,26.646465,159.541667,0.883625,1.064018
1951-03-01,178,161.833333,-2.241162,18.407828,161.833333,1.007366,1.091854
1951-04-01,163,164.125000,-8.036616,6.911616,164.125000,0.975906,1.017665
1951-05-01,172,166.666667,-4.506313,9.839646,166.666667,0.981378,1.051583
1951-06-01,178,169.083333,35.402778,-26.486111,169.083333,1.112776,0.946044
1951-07-01,199,171.250000,63.830808,-36.080808,171.250000,1.226556,0.947404
1951-08-01,199,173.583333,62.823232,-37.406566,173.583333,1.219911,0.939760
1951-09-01,184,175.458333,16.520202,-7.978535,175.458333,1.060492,0.988864
1951-10-01,162,176.833333,-20.642677,5.809343,176.833333,0.921757,0.993881
1951-11-01,146,178.041667,-53.593434,21.551768,178.041667,0.801178,1.023534
1951-12-01,166,180.166667,-28.619949,14.453283,180.166667,0.898824,1.025082
1952-01-01,171,183.125000,-24.748737,12.623737,183.125000,0.910230,1.025881
1952-02-01,180,186.208333,-36.188131,29.979798,186.208333,0.883625,1.093970
1952-03-01,193,189.041667,-2.241162,6.199495,189.041667,1.007366,1.013473
1952-04-01,181,191.291667,-8.036616,-2.255051,191.291667,0.975906,0.969560
1952-05-01,183,193.583333,-4.506313,-6.077020,193.583333,0.981378,0.963267
1952-06-01,218,195.833333,35.402778,-13.236111,195.833333,1.112776,1.000374
1952-07-01,230,198.041667,63.830808,-31.872475,198.041667,1.226556,0.946856
1952-08-01,242,199.750000,62.823232,-20.573232,199.750000,1.219911,0.993117
1952-09-01,209,202.208333,16.520202,-9.728535,202.208333,1.060492,0.974630
1952-10-01,191,206.250000,-20.642677,5.392677,206.250000,0.921757,1.004669
1952-11-01,172,210.416667,-53.593434,15.176768,210.416667,0.801178,1.020280
1952-12-01,194,213.375000,-28.619949,9.244949,213.375000,0.898824,1.011541
1953-01-01,196,215.833333,-24.748737,4.915404,215.833333,0.910230,0.997668
1953-02-01,196,218.500000,-36.188131,13.688131,218.500000,0.883625,1.015165
1953-03-01,236,220.916667,-2.241162,17.324495,220.916667,1.007366,1.060464
1953-04-01,235,222.916667,-8.036616,20.119949,222.916667,0.975906,1.080233
1953-05-01,229,224.083333,-4.506313,9.422980,224.083333,0.981378,1.041333
1953-06-01,243,224.708333,35.402778,-17.111111,224.708333,1.112776,0.971806
1953-07-01,264,225.333333,63.830808,-25.164141,225.333333,1.226556,0.955193
1953-08-01,272,225.333333,62.823232,-16.156566,225.333333,1.219911,0.989499
1953-09-01,237,224.958333,16.520202,-4.478535,224.958333,1.060492,0.993434
1953-10-01,211,224.583333,-20.642677,7.059343,224.583333,0.921757,1.019268
1953-11-01,180,224.458333,-53.593434,9.135101,224.458333,0.801178,1.000939
1953-12-01,201,225.541667,-28.619949,4.078283,225.541667,0.898824,0.991504
1954-01-01,204,228.000000,-24.748737,0.748737,228.000000,0.910230,0.982978
1954-02-01,188,230.458333,-36.188131,-6.270202,230.458333,0.883625,0.923203
1954-03-01,235,232.250000,-2.241162,4.991162,232.250000,1.007366,1.004442
1954-04-01,227,233.916667,-8.036616,1.119949,233.916667,0.975906,0.994390
1954-05-01,234,235.625000,-4.506313,2.881313,235.625000,0.981378,1.011948
1954-06-01,264,237.750000,35.402778,-9.152778,237.750000,1.112776,0.997874
1954-07-01,302,240.500000,63.830808,-2.330808,240.500000,1.226556,1.023775
1954-08-01,293,243.958333,62.823232,-13.781566,243.958333,1.219911,0.984518
1954-09-01,259,247.166667,16.520202,-4.686869,247.166667,1.060492,0.988104
1954-10-01,229,250.250000,-20.642677,-0.607323,250.250000,0.921757,0.992761
1954-11-01,203,253.500000,-53.593434,3.093434,253.500000,0.801178,0.999514
1954-12-01,229,257.125000,-28.619949,0.494949,257.125000,0.898824,0.990869
1955-01-01,242,261.833333,-24.748737,4.915404,261.833333,0.910230,1.015405
1955-02-01,233,266.666667,-36.188131,2.521465,266.666667,0.883625,0.988824
1955-03-01,267,271.125000,-2.241162,-1.883838,271.125000,1.007366,0.977584
1955-04-01,269,275.208333,-8.036616,1.828283,275.208333,0.975906,1.001573
1955-05-01,270,278.500000,-4.506313,-3.993687,278.500000,0.981378,0.987876
1955-06-01,315,281.958333,35.402778,-2.361111,281.958333,1.112776,1.003964
1955-07-01,364,285.750000,63.830808,14.419192,285.750000,1.226556,1.038551
1955-08-01,347,289.333333,62.823232,-5.156566,289.333333,1.219911,0.983112
1955-09-01,312,293.250000,16.520202,2.229798,293.250000,1.060492,1.003250
1955-10-01,274,297.166667,-20.642677,-2.523990,297.166667,0.921757,1.000308
1955-11-01,237,301.000000,-53.593434,-10.406566,301.000000,0.801178,0.982772
1955-12-01,278,305.458333,-28.619949,1.161616,305.458333,0.898824,1.012553
1956-01-01,284,309.958333,-24.748737,-1.209596,309.958333,0.910230,1.006616
1956-02-01,277,314.416667,-36.188131,-1.228535,314.416667,0.883625,0.997025
1956-03-01,317,318.625000,-2.241162,0.616162,318.625000,1.007366,0.987625
1956-04-01,313,321.750000,-8.036616,-0.713384,321.750000,0.975906,0.996822
1956-05-01,318,324.500000,-4.506313,-1.993687,324.500000,0.981378,0.998564
1956-06-01,374,327.083333,35.402778,11.513889,327.083333,1.112776,1.027556
1956-07-01,413,329.541667,63.830808,19.627525,329.541667,1.226556,1.021768
1956-08-01,405,331.833333,62.823232,10.343434,331.833333,1.219911,1.000476
1956-09-01,355,334.458333,16.520202,4.021465,334.458333,1.060492,1.000873
1956-10-01,306,337.541667,-20.642677,-10.898990,337.541667,0.921757,0.983507
1956-11-01,271,340.541667,-53.593434,-15.948232,340.541667,0.801178,0.993276
1956-12-01,306,344.083333,-28.619949,-9.463384,344.083333,0.898824,0.989425
1957-01-01,315,348.250000,-24.748737,-8.501263,348.250000,0.910230,0.993729
1957-02-01,301,353.000000,-36.188131,-15.811869,353.000000,0.883625,0.964992
1957-03-01,356,357.625000,-2.241162,0.616162,357.625000,1.007366,0.988177
1957-04-01,348,361.375000,-8.036616,-5.338384,361.375000,0.975906,0.986764
1957-05-01,355,364.500000,-4.506313,-4.993687,364.500000,0.981378,0.992418
1957-06-01,422,367.166667,35.402778,19.430556,367.166667,1.112776,1.032860
1957-07-01,465,369.458333,63.830808,31.710859,369.458333,1.226556,1.026125
1957-08-01,467,371.208333,62.823232,32.968434,371.208333,1.219911,1.031267
1957-09-01,404,372.166667,16.520202,15.313131,372.166667,1.060492,1.023615
1957-10-01,347,372.416667,-20.642677,-4.773990,372.416667,0.921757,1.010843
1957-11-01,305,372.750000,-53.593434,-14.156566,372.750000,0.801178,1.021300
1957-12-01,336,373.625000,-28.619949,-9.005051,373.625000,0.898824,1.000526
1958-01-01,340,375.250000,-24.748737,-10.501263,375.250000,0.910230,0.995421
1958-02-01,318,377.916667,-36.188131,-23.728535,377.916667,0.883625,0.952276
1958-03-01,362,379.500000,-2.241162,-15.258838,379.500000,1.007366,0.946911
1958-04-01,348,380.000000,-8.036616,-23.963384,380.000000,0.975906,0.938399
1958-05-01,363,380.708333,-4.506313,-13.202020,380.708333,0.981378,0.971579
1958-06-01,435,380.958333,35.402778,18.638889,380.958333,1.112776,1.026134
1958-07-01,491,381.833333,63.830808,45.335859,381.833333,1.226556,1.048384
1958-08-01,505,383.666667,62.823232,58.510101,383.666667,1.219911,1.078970
1958-09-01,404,386.500000,16.520202,0.979798,386.500000,1.060492,0.985654
1958-10-01,359,390.333333,-20.642677,-10.690657,390.333333,0.921757,0.997797
1958-11-01,310,394.708333,-53.593434,-31.114899,394.708333,0.801178,0.980294
1958-12-01,337,398.625000,-28.619949,-33.005051,398.625000,0.898824,0.940569
1959-01-01,360,402.541667,-24.748737,-17.792929,402.541667,0.910230,0.982518
1959-02-01,342,407.166667,-36.188131,-28.978535,407.166667,0.883625,0.950574
1959-03-01,406,411.875000,-2.241162,-3.633838,411.875000,1.007366,0.978528
1959-04-01,396,416.333333,-8.036616,-12.296717,416.333333,0.975906,0.974644
1959-05-01,420,420.500000,-4.506313,4.006313,420.500000,0.981378,1.017764
1959-06-01,472,425.500000,35.402778,11.097222,425.500000,1.112776,0.996861
1959-07-01,548,430.708333,63.830808,53.460859,430.708333,1.226556,1.037314
1959-08-01,559,435.125000,62.823232,61.051768,435.125000,1.219911,1.053100
1959-09-01,463,437.708333,16.520202,8.771465,437.708333,1.060492,0.997445
1959-10-01,407,440.958333,-20.642677,-13.315657,440.958333,0.921757,1.001337
1959-11-01,362,445.833333,-53.593434,-30.239899,445.833333,0.801178,1.013461
1959-12-01,405,450.625000,-28.619949,-17.005051,450.625000,0.898824,0.999919
1960-01-01,417,456.333333,-24.748737,-14.584596,456.333333,0.910230,1.003928
1960-02-01,391,461.375000,-36.188131,-34.186869,461.375000,0.883625,0.959079
1960-03-01,419,465.208333,-2.241162,-43.967172,465.208333,1.007366,0.894086
1960-04-01,461,469.333333,-8.036616,-0.296717,469.333333,0.975906,1.006495
1960-05-01,472,472.750000,-4.506313,3.756313,472.750000,0.981378,1.017359
1960-06-01,535,475.041667,35.402778,24.555556,475.041667,1.112776,1.012079
1960-07-01,622,,63.830808,,,1.226556,
1960-08-01,606,,62.823232,,,1.219911,
1960-09-01,508,,16.520202,,,1.060492,
1960-10-01,461,,-20.642677,,,0.921757,
1960-11-01,390,,-53.593434,,,0.801178,
1960-12-01,432,,-28.619949,,,0.898824,
