date,value
2009-01-01,203.78
2009-02-01,220.82
2009-03-01,241.85
2009-04-01,249.75
2009-05-01,235.61
2009-06-01,222.23
2009-07-01,205.96
2009-08-01,184.7
2009-09-01,170.66
2009-10-01,163.44
2009-11-01,173.13
2009-12-01,189.25
2010-01-01,209.38
2010-02-01,234.15
2010-03-01,250.03
2010-04-01,252.17
2010-05-01,249.85
2010-06-01,231.01
2010-07-01,216.29
2010-08-01,193.12
2010-09-01,177.72
2010-10-01,170.86
2010-11-01,182.29
2010-12-01,195.96
2011-01-01,217.3
2011-02-01,239.56
2011-03-01,259.87
2011-04-01,266.0
2011-05-01,260.73
2011-06-01,245.51
2011-07-01,231.52
2011-08-01,202.81
2011-09-01,186.7
2011-10-01,179.87
2011-11-01,191.38
2011-12-01,210.77
2012-01-01,231.76
2012-02-01,253.2
2012-03-01,271.46
2012-04-01,283.45
2012-05-01,278.58
2012-06-01,262.07
2012-07-01,237.74
2012-08-01,215.81
2012-09-01,199.05
2012-10-01,193.33
2012-11-01,204.76
2012-12-01,222.28
2013-01-01,249.37
2013-02-01,273.63
2013-03-01,295.68
2013-04-01,306.22
2013-05-01,291.81
2013-06-01,277.92
2013-07-01,254.81
2013-08-01,228.22
2013-09-01,211.23
2013-10-01,209.95
2013-11-01,213.92
2013-12-01,238.98
2014-01-01,256.7
2014-02-01,286.81
2014-03-01,310.28
2014-04-01,321.16
2014-05-01,314.59
2014-06-01,297.66
2014-07-01,269.95
2014-08-01,242.04
2014-09-01,227.57
2014-10-01,218.69
2014-11-01,224.63
2014-12-01,245.02
2015-01-01,270.92
2015-02-01,304.19
2015-03-01,325.99
2015-04-01,338.06
2015-05-01,325.04
2015-06-01,308.23
2015-07-01,284.61
2015-08-01,252.67
2015-09-01,236.09
2015-10-01,225.59
2015-11-01,235.41
2015-12-01,256.86
2016-01-01,280.39
2016-02-01,316.39
2016-03-01,335.59
2016-04-01,346.89
2016-05-01,339.54
2016-06-01,320.16
2016-07-01,294.91
2016-08-01,261.93
2016-09-01,241.18
2016-10-01,234.08
2016-11-01,237.8
2016-12-01,258.83
2017-01-01,284.45
2017-02-01,314.61
2017-03-01,342.18
2017-04-01,344.88
2017-05-01,336.0
2017-06-01,322.8
2017-07-01,289.31
2017-08-01,261.87
2017-09-01,236.17
2017-10-01,229.48
2017-11-01,234.61
2017-12-01,256.82
2018-01-01,287.28
2018-02-01,306.48
2018-03-01,336.65
2018-04-01,343.75
2018-05-01,329.55
2018-06-01,305.18
2018-07-01,282.35
2018-08-01,249.46
2018-09-01,230.82
2018-10-01,221.84
2018-11-01,234.14
2018-12-01,249.54
2019-01-01,271.51
2019-02-01,302.51
2019-03-01,325.14
2019-04-01,337.95
2019-05-01,326.37
2019-06-01,305.39
2019-07-01,283.87
2019-08-01,244.88
2019-09-01,226.13
2019-10-01,216.66
2019-11-01,225.3
2019-12-01,240.5
2020-01-01,271.2
2020-02-01,295.5
2020-03-01,311.0
2020-04-01,318.37
2020-05-01,312.25
2020-06-01,294.91
2020-07-01,274.65
2020-08-01,248.58
2020-09-01,223.14
2020-10-01,211.15
2020-11-01,214.35
2020-12-01,238.86
2021-01-01,259.83
2021-02-01,286.48
2021-03-01,305.41
2021-04-01,314.07
2021-05-01,309.43
2021-06-01,287.56
2021-07-01,262.17
2021-08-01,229.51
2021-09-01,207.01
2021-10-01,200.82
2021-11-01,208.01
2021-12-01,231.82
2022-01-01,250.69
2022-02-01,279.14
2022-03-01,293.31
2022-04-01,296.73
2022-05-01,287.38
2022-06-01,268.64
2022-07-01,255.08
2022-08-01,217.84
2022-09-01,203.13
2022-10-01,190.81
2022-11-01,201.72
2022-12-01,218.75
2023-01-01,238.46
2023-02-01,262.7
2023-03-01,277.57
2023-04-01,287.69
2023-05-01,275.77
2023-06-01,254.56
2023-07-01,232.27
2023-08-01,207.63
2023-09-01,193.85
2023-10-01,182.78
2023-11-01,188.51
2023-12-01,206.12
