date,gdp_real,gdp_log
1970-01-01,2026.06,7.613848
1970-04-01,2033.9,7.617709
1970-07-01,2056.69,7.628853
1970-10-01,2080.76,7.640489
1971-01-01,2080.79,7.640504
1971-04-01,2087.34,7.643645
1971-07-01,2105.0,7.652072
1971-10-01,2119.15,7.658772
1972-01-01,2134.71,7.666086
1972-04-01,2144.06,7.670457
1972-07-01,2167.15,7.68117
1972-10-01,2190.27,7.691778
1973-01-01,2207.26,7.699507
1973-04-01,2233.01,7.711106
1973-07-01,2252.92,7.719981
1973-10-01,2261.88,7.723953
1974-01-01,2281.17,7.732442
1974-04-01,2289.09,7.73591
1974-07-01,2312.86,7.74624
1974-10-01,2328.91,7.753154
1975-01-01,2344.07,7.759642
1975-04-01,2354.65,7.764147
1975-07-01,2381.39,7.775438
1975-10-01,2396.99,7.781969
1976-01-01,2401.62,7.783897
1976-04-01,2404.13,7.784944
1976-07-01,2417.95,7.790676
1976-10-01,2429.33,7.795372
1977-01-01,2435.8,7.798032
1977-04-01,2441.8,7.800492
1977-07-01,2474.93,7.813966
1977-10-01,2487.73,7.819126
1978-01-01,2499.84,7.82398
1978-04-01,2509.11,7.827683
1978-07-01,2529.73,7.835869
1978-10-01,2554.98,7.845799
1979-01-01,2569.91,7.851625
1979-04-01,2579.69,7.855425
1979-07-01,2589.25,7.859124
1979-10-01,2611.2,7.867567
1980-01-01,2633.7,7.876145
1980-04-01,2654.01,7.883829
1980-07-01,2665.44,7.888124
1980-10-01,2684.0,7.895065
1981-01-01,2701.02,7.901384
1981-04-01,2718.7,7.907909
1981-07-01,2742.19,7.916514
1981-10-01,2759.69,7.922875
1982-01-01,2780.92,7.930539
1982-04-01,2796.98,7.936294
1982-07-01,2815.97,7.943062
1982-10-01,2837.52,7.950685
1983-01-01,2842.42,7.95241
1983-04-01,2856.53,7.957363
1983-07-01,2869.12,7.961761
1983-10-01,2879.68,7.965435
1984-01-01,2893.69,7.970287
1984-04-01,2922.29,7.980124
1984-07-01,2931.7,7.983337
1984-10-01,2955.4,7.99139
1985-01-01,2958.09,7.9923
1985-04-01,2971.53,7.996831
1985-07-01,2980.49,7.999843
1985-10-01,2994.6,8.004565
1986-01-01,3007.47,8.008855
1986-04-01,3020.88,8.013304
1986-07-01,3021.47,8.0135
1986-10-01,3028.7,8.015887
1987-01-01,3052.06,8.023571
1987-04-01,3066.64,8.028336
1987-07-01,3073.15,8.030459
1987-10-01,3079.83,8.032631
1988-01-01,3088.01,8.035283
