date,price,quantity
1975-01-01,0.1577,0.0873
1975-04-01,0.9391,0.1607
1975-07-01,0.9539,0.1666
1975-10-01,-0.2783,0.5213
1976-01-01,-0.5567,-1.4525
1976-04-01,0.2402,-2.4323
1976-07-01,-1.1669,-0.5801
1976-10-01,-0.8696,-0.2415
1977-01-01,-0.5423,1.1096
1977-04-01,-1.1222,1.0496
1977-07-01,0.32,-0.1803
1977-10-01,0.7429,-1.1388
1978-01-01,-0.1954,-0.8897
1978-04-01,-0.8222,1.051
1978-07-01,-1.4917,-0.0937
1978-10-01,-1.6883,-0.2774
1979-01-01,0.5111,-1.27
1979-04-01,1.1726,-0.3033
1979-07-01,0.8215,-0.8725
1979-10-01,-0.5316,-0.2566
1980-01-01,-0.6082,0.0032
1980-04-01,-0.9278,0.8803
1980-07-01,0.527,-0.7731
1980-10-01,1.1326,0.0624
1981-01-01,0.9816,0.7721
1981-04-01,0.127,0.4238
1981-07-01,0.0032,2.1565
1981-10-01,0.1521,0.7684
1982-01-01,1.5105,0.2161
1982-04-01,0.8822,0.2683
1982-07-01,1.1992,-0.2171
1982-10-01,0.8033,-1.871
1983-01-01,-0.3363,-1.2621
1983-04-01,-1.8539,0.5859
1983-07-01,0.7942,0.0073
1983-10-01,0.8576,-0.0417
1984-01-01,0.0034,0.0144
1984-04-01,0.6874,0.076
1984-07-01,1.8581,-0.1394
1984-10-01,-1.1217,1.5382
1985-01-01,-1.1592,1.32
1985-04-01,-0.6812,0.7091
1985-07-01,-0.1204,0.057
1985-10-01,-0.9066,-0.0771
1986-01-01,-1.454,-0.0531
1986-04-01,-0.0735,0.5859
1986-07-01,-0.4995,0.3088
1986-10-01,-1.0577,0.47
1987-01-01,-1.4445,-0.8886
1987-04-01,-1.0208,-2.0463
1987-07-01,-0.2782,0.4311
1987-10-01,0.4911,-1.0515
1988-01-01,-1.638,-1.872
1988-04-01,0.5758,0.6423
1988-07-01,-0.4373,0.2474
1988-10-01,-1.0528,-0.7865
1989-01-01,-0.3672,-0.2952
1989-04-01,0.1423,0.4289
1989-07-01,1.0689,0.0289
1989-10-01,-0.0918,1.3777
1990-01-01,0.0422,-0.5143
1990-04-01,1.0562,0.311
1990-07-01,1.7724,0.4949
1990-10-01,1.7039,0.9358
1991-01-01,-0.1581,1.3707
1991-04-01,0.4877,-0.2895
1991-07-01,-0.4774,0.0038
1991-10-01,-1.7643,-0.3295
1992-01-01,-1.9434,0.2379
1992-04-01,-1.9019,-1.5014
1992-07-01,-1.5254,-1.7404
1992-10-01,-0.4793,-0.5947
1993-01-01,-0.3185,-0.4019
1993-04-01,0.6981,-0.6256
1993-07-01,0.2482,0.5288
1993-10-01,0.0297,0.6541
1994-01-01,-1.1646,1.4876
1994-04-01,-0.1599,0.1753
1994-07-01,0.1526,-0.8682
1994-10-01,-0.2798,-1.2941
1995-01-01,-0.5306,-0.2415
1995-04-01,0.347,-0.5145
1995-07-01,0.2022,0.6713
1995-10-01,0.5003,-0.23
1996-01-01,0.4346,0.2985
1996-04-01,-0.7821,-0.5482
1996-07-01,0.4621,-0.6054
1996-10-01,1.2991,-0.9085
1997-01-01,0.4918,1.0782
1997-04-01,-0.1354,0.4475
1997-07-01,-0.9048,-1.5661
1997-10-01,0.0374,-1.2536
1998-01-01,-1.0268,1.0733
1998-04-01,-0.5456,-0.7122
1998-07-01,-1.2721,0.7806
1998-10-01,-1.4818,-0.211
1999-01-01,1.8669,-0.3007
1999-04-01,0.1042,-0.788
1999-07-01,-0.9894,0.0101
1999-10-01,1.0457,-0.9571
2000-01-01,1.1032,-0.344
