horizon,variable,mean,median,lower_68,upper_68,lower_95,upper_95
1,gdp,3.350193,3.349847,2.718895,3.982091,2.087896,4.597930
1,inflation,3.503559,3.500704,3.017788,3.988546,2.562827,4.444070
1,fed_funds,6.534421,6.534887,6.140130,6.930677,5.771647,7.308419
1,unemployment,10.412861,10.417134,10.112167,10.709959,9.818811,10.987420
2,gdp,3.402858,3.416171,2.615870,4.190398,1.866638,4.933811
2,inflation,3.527467,3.540028,2.903193,4.142327,2.296036,4.729785
2,fed_funds,6.537804,6.533244,5.990613,7.085610,5.477858,7.621356
2,unemployment,10.387022,10.386254,9.969042,10.803370,9.581454,11.219987
3,gdp,3.442174,3.444077,2.593224,4.292557,1.770768,5.113952
3,inflation,3.529088,3.530273,2.819383,4.240642,2.097403,4.931137
3,fed_funds,6.509654,6.499164,5.871088,7.147682,5.255109,7.754703
3,unemployment,10.359208,10.343716,9.852619,10.877583,9.375349,11.362842
4,gdp,3.449404,3.446760,2.563437,4.352689,1.726757,5.221496
4,inflation,3.546099,3.547657,2.760991,4.317488,2.068326,5.044151
4,fed_funds,6.488555,6.499825,5.759701,7.205314,5.087073,7.858566
4,unemployment,10.335002,10.329890,9.740935,10.916190,9.200530,11.504434
5,gdp,3.468636,3.466775,2.567151,4.374308,1.626707,5.236954
5,inflation,3.557187,3.560524,2.771383,4.342538,1.979720,5.162487
5,fed_funds,6.468666,6.475760,5.705659,7.225822,4.938935,8.024890
5,unemployment,10.317717,10.301077,9.674712,10.971521,9.061848,11.626322
6,gdp,3.491878,3.505471,2.569491,4.410922,1.660956,5.292030
6,inflation,3.564106,3.545279,2.754005,4.401019,1.952668,5.228115
6,fed_funds,6.447827,6.448340,5.648361,7.261393,4.840644,8.037364
6,unemployment,10.299247,10.280964,9.601970,10.999248,8.963094,11.665248
7,gdp,3.492267,3.500460,2.559729,4.438086,1.614912,5.367844
7,inflation,3.572439,3.557884,2.716174,4.416959,1.912118,5.281806
7,fed_funds,6.434645,6.436783,5.594170,7.280508,4.751709,8.098040
7,unemployment,10.277470,10.276172,9.531308,11.017159,8.827166,11.717175
8,gdp,3.499923,3.502683,2.546913,4.439920,1.596164,5.362437
8,inflation,3.574590,3.569020,2.726432,4.410475,1.946005,5.275050
8,fed_funds,6.423360,6.417935,5.547376,7.286681,4.700471,8.163713
8,unemployment,10.250787,10.247883,9.474774,11.032065,8.738207,11.804977
9,gdp,3.480678,3.490260,2.528964,4.415049,1.590475,5.349597
9,inflation,3.567201,3.566501,2.728165,4.406678,1.916585,5.271971
9,fed_funds,6.410927,6.411218,5.519981,7.284708,4.574859,8.206547
9,unemployment,10.235272,10.225167,9.436465,11.055604,8.647405,11.857467
10,gdp,3.481004,3.482867,2.550077,4.414119,1.588581,5.343602
10,inflation,3.568520,3.568536,2.716454,4.428584,1.876071,5.290282
10,fed_funds,6.401742,6.400084,5.492462,7.311780,4.551651,8.249877
10,unemployment,10.207362,10.192844,9.373272,11.062341,8.567825,11.887969
11,gdp,3.475320,3.471426,2.535619,4.405579,1.668880,5.328966
11,inflation,3.568566,3.566324,2.713481,4.432355,1.855331,5.346180
11,fed_funds,6.401875,6.404102,5.486829,7.318446,4.500928,8.278625
11,unemployment,10.191635,10.174771,9.328650,11.069386,8.478188,11.944801
12,gdp,3.446876,3.435866,2.502348,4.391155,1.566492,5.314283
12,inflation,3.573143,3.587635,2.708414,4.436567,1.851756,5.338981
12,fed_funds,6.401078,6.397910,5.438524,7.356118,4.446453,8.347928
12,unemployment,10.188143,10.177482,9.306475,11.087758,8.434706,12.022969
