lag,aic,bic,hqic,fpe
0,-3.043249886216671,-3.043249886216671,-3.043249886216671,0.04962554523765637
1,-6.599407769100208,-6.334619441484168,-6.492241090687497,0.0014170692479263476
2,-6.565120321485766,-6.033683225615943,-6.350012249159862,0.0014671030573273419
3,-6.484816547837994,-5.684848126622646,-6.1609833634240765,0.0015909259081430876
4,-6.34758043295556,-5.277175646268044,-5.914229274204663,0.001827116536382203
5,-6.303871817342097,-4.961102767674919,-5.760200533787643,0.001912216566103919
6,-6.227372790920574,-4.610288341074804,-5.572569796929724,0.0020696589308282966
7,-6.163942549131727,-4.270567931736146,-5.397186674088491,0.002213189713829177
8,-6.097763525171528,-3.9260999438196733,-5.21822386072709,0.002376058970470578
9,-5.990795358260663,-3.5388195800474973,-4.997631102584776,0.0026609378178074614
10,-5.936995650555902,-3.202659589789177,-4.8293559495216725,0.0028304472001224406
11,-5.888935604543628,-2.8701658973981408,-4.665959389776329,0.0029994144165487895
12,-5.906615067747126,-2.6013126376229216,-4.567430891466071,0.0029830069988146762
